station_id,station_name,department_id,altitude,latitude,longitude,city
11159002,RIBOUISSE,11,302,43.182833,1.895833,RIBOUISSE
11168001,GRANES,11,420,42.909167,2.2505,GRANES
11181002,LABECEDE LAURAGAIS_SAPC,11,408,43.3895,2.022167,LABECEDE-LAURAGAIS
11185001,LAGRASSE,11,130,43.0915,2.621833,LAGRASSE
11202001,LEUCATE,11,42,42.917333,3.059667,LEUCATE
11203004,LEZIGNAN-CORBIERES,11,60,43.173,2.728833,CONILHAC-CORBIERES
11206003,LIMOUX,11,230,43.046,2.201167,LIMOUX
11221004,LES MARTYS,11,760,43.4085,2.292333,LES MARTYS
11243001,MONTFERRAND,11,190,43.3535,1.821667,MONTFERRAND
11253001,MONTOLIEU,11,280,43.312667,2.2405,MONTOLIEU
11260002,MOUTHOUMET,11,538,42.9595,2.529,MOUTHOUMET
11262005,NARBONNE,11,110,43.150333,2.955833,NARBONNE
11266001,PORT-LA-NOUVELLE,11,0,43.0145,3.0525,PORT-LA-NOUVELLE
11295001,PORTEL-DES-CORBIERES,11,29,43.041,2.9435,PORTEL-DES-CORBIERES
11333001,ST BENOIT,11,601,43.004,2.0455,SAINT-BENOIT
11404001,VENTENAC-CABARDES,11,123,43.264833,2.302333,PENNAUTIER
11412001,VILLARDEBELLE_SAPC,11,593,43.014833,2.4005,VILLARDEBELLE
12005001,ALPUECH,12,1107,44.756,2.868167,ARGENCES EN AUBRAC
12011001,ARVIEU,12,733,44.167667,2.618833,ARVIEU
12014001,AURELLE-VERLAC_SAPC,12,1076,44.5335,3.007667,SAINT GENIEZ D'OLT ET D'AUBRAC
12021001,BASTIDE EVEQUE,12,500,44.341333,2.139167,LE BAS SEGALA
12023001,BASTIDE SOLAGES,12,230,43.951167,2.503,LA BASTIDE-SOLAGES
12039001,BRUSQUE_SAPC,12,858,43.7495,2.938667,BRUSQUE
12050001,CANET-DE-SALARS_SAPC,12,860,44.2335,2.737167,CANET-DE-SALARS
12063003,MILLAU-LARZAC_SAPC,12,794,43.987,3.181833,L'HOSPITALET-DU-LARZAC
12068001,COLOMBIES,12,647,44.357833,2.317167,COLOMBIES
12077002,CORNUS,12,718,43.922333,3.192167,CORNUS
12092001,DURENQUE_SAPC,12,812,44.111833,2.6445,DURENQUE
12094002,ENTRAYGUES SUR,12,264,44.635833,2.559667,ENTRAYGUES-SUR-TRUYERE
12096001,ESPALION,12,359,44.5095,2.768667,ESPALION
12102001,FLAVIN,12,657,44.279333,2.606333,FLAVIN
12119001,LAGUIOLE,12,1030,44.682667,2.852833,LAGUIOLE
12145001,MILLAU,12,712,44.1185,3.0195,MILLAU
12150001,MONTEILS,12,268,44.265667,1.991667,MONTEILS
12154003,MONTLAUR,12,374,43.891667,2.836333,MONTLAUR
12179001,PEUX-ET-COUFFOULEUX_SAPC,12,830,43.761833,2.867167,PEUX-ET-COUFFOULEUX
12189001,PRADINAS_SAPC,12,564,44.242167,2.255833,PRADINAS
